Name,URI,Popularity,Genres,Followers
Linkin Park,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,84.0,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",24821661.0
One Direction,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,82.0,"['boy band', 'pop', 'post-teen pop', 'talent show']",34128955.0
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,82.0,"['k-pop', 'k-pop girl group', 'pop']",47655790.0
Queen,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,84.0,"['classic rock', 'glam rock', 'rock']",49032793.0
NewJeans,spotify:artist:6HvZYsbFfjnjFrWF950C9d,82.0,"['k-pop', 'k-pop girl group']",6882667.0
The Beatles,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,83.0,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",26777942.0
The Neighbourhood,spotify:artist:77SW9BnxLY8rJ0RciFqkHh,83.0,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",14932202.0
Stray Kids,spotify:artist:2dIgFjalVxs4ThymZ67YCE,82.0,"['k-pop', 'k-pop boy group', 'pop']",14047184.0
OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,81.0,"['piano rock', 'pop']",16592432.0
Eslabon Armado,spotify:artist:0XeEobZplHxzM9QzFQWLiR,78.0,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",5165412.0
Red Hot Chili Peppers,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,82.0,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",20359131.0
Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,80.0,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",26485235.0
Morat,spotify:artist:5C4PDR4LnhZTbVnKWXuDKD,80.0,"['colombian pop', 'latin viral pop']",10348070.0
Henrique & Juliano,spotify:artist:3p7PcrEHaaKLJnPUGOtRlT,82.0,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",20635672.0
Nirvana,spotify:artist:6olE6TJLqED3rqDCT0FyPh,80.0,"['grunge', 'permanent wave', 'rock']",18687524.0
Cigarettes After Sex,spotify:artist:1QAJqy2dA3ihHBFIHRphZj,81.0,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",9468465.0
Fleetwood Mac,spotify:artist:08GQAI4eElDnROBrJRGE0X,80.0,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",10886891.0
TWICE,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,78.0,"['k-pop', 'k-pop girl group', 'pop']",19523078.0
Måneskin,spotify:artist:0lAWpj5szCSwM4rUMHYmrr,79.0,"['indie rock italiano', 'italian pop']",8394364.0
Grupo Firme,spotify:artist:1dKdetem2xEmjgvyymzytS,80.0,"['musica mexicana', 'norteno', 'sierreno']",11764847.0
Black Eyed Peas,spotify:artist:1yxSLGMDHlW21z4YXirZDS,79.0,"['dance pop', 'pop', 'pop rap']",7880794.0
Radiohead,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,80.0,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",9213807.0
Gorillaz,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,77.0,"['alternative hip hop', 'modern rock', 'rock']",11140502.0
Vishal-Shekhar,spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb,75.0,"['filmi', 'modern bollywood']",6267671.0
The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,79.0,['pop'],20285734.0
ABBA,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,79.0,"['europop', 'swedish pop']",11480268.0
Jorge & Mateus,spotify:artist:1elUiq4X7pxej6FRlrEzjM,78.0,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",19182441.0
Grupo Marca Registrada,spotify:artist:1gW6pz5n1aK249L0GvfQCC,80.0,"['corrido', 'norteno', 'sad sierreno']",3594305.0
SEVENTEEN,spotify:artist:7nqOGRxlXj7N2JYbgNEjYH,79.0,"['k-pop', 'k-pop boy group']",10812031.0
Green Day,spotify:artist:7oPftvlwr6VrsViSDV7fJY,79.0,"['modern rock', 'permanent wave', 'punk', 'rock']",14529034.0
Twenty One Pilots,spotify:artist:3YQKmKGau1PzlVlkL1iodx,78.0,"['modern rock', 'pop', 'pov: indie', 'rock']",24035595.0
Fall Out Boy,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,78.0,"['emo', 'modern rock', 'pop', 'rock']",10412224.0
Guns N' Roses,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,78.0,"['glam metal', 'hard rock', 'rock']",30302586.0
Creedence Clearwater Revival,spotify:artist:3IYUhFvPQItj6xySrBmZkd,78.0,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",6281140.0
Wisin & Yandel,spotify:artist:1wZtkThiXbVNtj6hee6dz9,77.0,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']",6946597.0
Chase Atlantic,spotify:artist:7cYEt1pqMgXJdq00hAwVpT,78.0,['alternative r&b'],6371390.0
Rammstein,spotify:artist:6wWVKhxIU2cEi0K81v7HvP,78.0,"['german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte']",9109302.0
System Of A Down,spotify:artist:5eAWCfyUhZtHHtBdNk56l1,78.0,"['alternative metal', 'nu metal', 'rap metal', 'rock']",10013104.0
Banda MS de Sergio Lizárraga,spotify:artist:2C6i0I5RiGzDKN9IAF8reh,78.0,"['banda', 'musica mexicana', 'norteno']",17526929.0
Pink Floyd,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,78.0,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",19913170.0
TV Girl,spotify:artist:0Y6dVaC9DZtPNH4591M42W,81.0,['pov: indie'],4717447.0
Bob Marley & The Wailers,spotify:artist:2QsynagSdAqZj3U9HgDzjD,77.0,"['reggae', 'roots reggae']",11833426.0
Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,91.0,"['hip hop', 'rap', 'slap house']",26224246.0
KAROL G,spotify:artist:790FomKkXshlbRYZFtlgla,89.0,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",43178006.0
Lana Del Rey,spotify:artist:00FQb4jTyendYWaN8pK0wa,89.0,"['art pop', 'pop']",31322292.0
21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft,89.0,"['atl hip hop', 'hip hop', 'rap']",16226227.0
Anirudh Ravichander,spotify:artist:4zCH9qm4R2DADamUHMCa6O,83.0,"['desi hip hop', 'filmi', 'tamil hip hop']",25403746.0
Metro Boomin,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,87.0,['rap'],6651225.0
Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,88.0,"['pop', 'singer-songwriter pop', 'uk pop']",114815172.0
Morgan Wallen,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM,86.0,['contemporary country'],8132609.0
Rauw Alejandro,spotify:artist:1mcTU81TzQhprhouKaTkpq,86.0,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",20139189.0
Shakira,spotify:artist:0EmeFodog0BfCgMzAIvKQp,85.0,"['colombian pop', 'dance pop', 'latin pop', 'pop']",32245304.0
Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,87.0,"['dfw rap', 'melodic rap', 'pop', 'rap']",43074494.0
Future,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,88.0,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",15699948.0
Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6,83.0,['pop'],22963536.0
Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,84.0,['pop'],30805741.0
David Guetta,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,87.0,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",26003251.0
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,87.0,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",26535754.0
Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,87.0,"['dance pop', 'pop']",28137575.0
Anuel AA,spotify:artist:2R21vXR83lH98kGeO99Y66,86.0,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",34277709.0
Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C,87.0,"['dance pop', 'pop']",52998267.0
Quevedo,spotify:artist:52iwsT98xCoGgiGntTiR7K,84.0,"['rap canario', 'trap latino', 'urbano latino']",3697369.0
Dua Lipa,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,86.0,"['dance pop', 'pop', 'uk pop']",42517397.0
Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,87.0,"['chicago rap', 'melodic rap', 'rap']",32088474.0
Natanael Cano,spotify:artist:0elWFr7TW8piilVRYJUe4P,86.0,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",10390813.0
Myke Towers,spotify:artist:7iK8PXO48WeuP03g8YR51W,86.0,"['reggaeton', 'trap latino', 'urbano latino']",13692826.0
Bizarrap,spotify:artist:716NhGYqD1jl2wI1Qkgq36,83.0,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",13913174.0
Luis Fonsi,spotify:artist:4V8Sr092TqfHkfAA5fXXqG,72.0,"['latin pop', 'puerto rican pop']",10876380.0
Ozuna,spotify:artist:1i8SpTcr7yvPOmcqrbnVXY,85.0,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",37379964.0
Lil Baby,spotify:artist:5f7VJjfbwm532GiveGC0ZK,86.0,"['atl hip hop', 'atl trap', 'rap', 'trap']",16374358.0
Tom Odell,spotify:artist:2txHhyCwHjUEpJjWrEyqyX,76.0,['chill pop'],3644937.0
Stephen Sanchez,spotify:artist:5XKFrudbV4IiuE5WuTPRmT,75.0,['gen z singer-songwriter'],1136054.0
