Name,URI,Popularity,Genres,Followers
Mannie Fresh,spotify:artist:0fbFfVckGKsDbAfYnB5mD1,51,"['bounce', 'dirty south rap']",249904
Example,spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW,53,"['hip house', 'uk dance']",313806
Professor Green,spotify:artist:0oJM3iJjMdzgsd4z5VHQvw,44,['grime'],341736
Sean Paul,spotify:artist:3Isy6kedDrgPYoTS1dazA9,77,"['dance pop', 'dancehall', 'pop', 'pop rap']",4626269
Nelly Furtado,spotify:artist:2jw70GZXlAI8QzWeY2bgRc,73,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",3821855
Keyshia Cole,spotify:artist:1vfezMIyCr4XUdYRaKIKi3,66,"['hip pop', 'r&b', 'urban contemporary']",3841860
Gnarls Barkley,spotify:artist:5SbkVQYYzlw1kte75QIabH,61,"['atl hip hop', 'neo soul']",532504
Snow Patrol,spotify:artist:3rIZMv9rysU7JkLzEaC5Jp,65,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']",2957147
The Fray,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK,67,"['neo mellow', 'piano rock', 'pop', 'pop rock']",3981759
Corinne Bailey Rae,spotify:artist:29WzbAQtDnBJF09es0uddn,61,"['british soul', 'neo soul', 'pop soul', 'soul']",779842
Muse,spotify:artist:12Chz98pHFMPJEknJQMWvI,72,"['alternative rock', 'modern rock', 'permanent wave', 'rock']",7744033
My Chemical Romance,spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb,74,"['emo', 'modern rock', 'pop punk', 'pov: indie', 'rock']",8440492
Amy Winehouse,spotify:artist:6Q192DXotxtaysaqNPy5yR,76,"['british soul', 'neo soul']",8707619
The Kooks,spotify:artist:1GLtl8uqKmnyCWxHmw9tL4,65,"['brighton indie', 'garage rock', 'modern rock', 'rock']",2523165
The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,74,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",7247250
Cassie,spotify:artist:27FGXRNruFoOdf1vP8dqcH,61,"['dance pop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']",1573574
John Mayer,spotify:artist:0hEurMDQu99nJRq8pTxO14,73,"['neo mellow', 'singer-songwriter']",5939238
Take That,spotify:artist:1XgFuvRd7r5g0h844A5ZUQ,63,"['boy band', 'europop', 'talent show']",1304058
The Pussycat Dolls,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,65,"['dance pop', 'girl group', 'pop']",5585196
Evanescence,spotify:artist:5nGIFgo0shDenQYSE0Sn7c,70,['alternative metal'],4407307
James Blunt,spotify:artist:7KMqksf0UMdyA0UCf4R3ux,68,['neo mellow'],2934147
Lil Jon,spotify:artist:7sfl4Xt5KmfyDs2T3SVSMK,70,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'old school atlanta hip hop', 'pop rap', 'southern hip hop', 'trap']",1554597
